"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 28 12:42:10 GMT 2022","Wed Sep 28 12:42:11 GMT 2022","691","","[US-0003] – API de cupons","","","","[GET] Deve Modificar um  os Cupons cadastrados",""
"passed","Wed Sep 28 12:38:12 GMT 2022","Wed Sep 28 12:38:27 GMT 2022","14618","","US-0002 Adicionar item ao carrinho ","","","","Deve validar não é permitido 10 itens de um mesmo produto ao carrinho ",""
"passed","Wed Sep 28 12:41:49 GMT 2022","Wed Sep 28 12:41:56 GMT 2022","6742","","US0001 - Funcionalidade Login","","","","Deve validar mensagem de erro com usuario inválido",""
"passed","Wed Sep 28 12:42:11 GMT 2022","Wed Sep 28 12:42:11 GMT 2022","419","","[US-0003] – API de cupons","","","","[GET] Deve listar buscando por ID do cupom",""
"passed","Wed Sep 28 12:37:32 GMT 2022","Wed Sep 28 12:38:12 GMT 2022","40339","","US-0002 Adicionar item ao carrinho ","","","","Deve permitir inserir 9 itens de um mesmo produto ao carrinho com sucesso ",""
"passed","Wed Sep 28 12:42:10 GMT 2022","Wed Sep 28 12:42:10 GMT 2022","601","","[US-0003] – API de cupons","","","","[POST] Nome do cupom não pode ser repetido",""
"passed","Wed Sep 28 12:42:08 GMT 2022","Wed Sep 28 12:42:10 GMT 2022","1450","","[US-0003] – API de cupons","","","","[POST] Criar um Cupom",""
"passed","Wed Sep 28 12:41:42 GMT 2022","Wed Sep 28 12:41:49 GMT 2022","6715","","US0001 - Funcionalidade Login","","","","Deve validar mensagem de erro com senha inválida",""
"failed","Wed Sep 28 12:39:39 GMT 2022","Wed Sep 28 12:40:36 GMT 2022","56714","","US-0002 Adicionar item ao carrinho ","","","","Valida desconto de 15% para valores acima de R$ 600 ",""
"failed","Wed Sep 28 12:39:00 GMT 2022","Wed Sep 28 12:39:39 GMT 2022","38906","","US-0002 Adicionar item ao carrinho ","","","","Valida desconto de 10% para valores entre R$ 200 e R$ 600  ",""
"passed","Wed Sep 28 12:42:11 GMT 2022","Wed Sep 28 12:42:12 GMT 2022","421","","[US-0003] – API de cupons","","","","[PUT] Deve Modificar o codigo e descripcao de um Cupom pelo ID",""
"passed","Wed Sep 28 12:41:24 GMT 2022","Wed Sep 28 12:41:42 GMT 2022","18453","","US0001 - Funcionalidade Login","","","","Deve fazer login com sucesso",""
"failed","Wed Sep 28 12:38:27 GMT 2022","Wed Sep 28 12:39:00 GMT 2022","33203","","US-0002 Adicionar item ao carrinho ","","","","Valores menores a 200 não tem desconto do 10%",""
